title,total
They Call Me MISTER Tibbs,1
Dirty Harry,15
Harold and Maude,3
The Organization,1
"Play it Again, Sam",6
The Candidate,1
What's Up Doc?,7
American Graffiti,2
Magnum Force,15
The Laughing Policeman,1
Freebie and the Bean,13
Herbie Rides Again,3
The Conversation,11
The Towering Inferno,7
Family Plot,4
The Enforcer,9
High Anxiety,3
A Night Full of Rain,4
Attack of the Killer Tomatoes,1
Faces of Death,1
Foul Play,22
Invasion of the Body Snatchers,16
Superman,1
Escape From Alcatraz,1
Time After Time,24
